date,Year,Month,Day,Obs_TP,Obs_chla,Obs_TDP,Obs_DOC
5/27/99,1999,5,27,115,4.95,71,900
6/9/99,1999,6,9,33,11.07,9,920
6/23/99,1999,6,23,39,60.86,,990
7/7/99,1999,7,7,54,68.55,13,1080
7/20/99,1999,7,20,41,27.99,10,1100
8/5/99,1999,8,5,32,19.7,10,990
8/17/99,1999,8,17,28,25.18,11,950
9/1/99,1999,9,1,30,10.79,11,960
9/15/99,1999,9,15,31,29.32,8,840
9/29/99,1999,9,29,19,19.14,7,870
10/20/99,1999,10,20,32,15,7,820
5/3/00,2000,5,3,27,7.36,9,770
5/17/00,2000,5,17,25,3.91,6,770
5/31/00,2000,5,31,33,9.63,9,770
6/14/00,2000,6,14,26,11.75,7,820
6/28/00,2000,6,28,34,10.41,12,1060
7/12/00,2000,7,12,40,55.82,7,1080
7/26/00,2000,7,26,27,8.32,5,990
8/10/00,2000,8,10,19,12.86,3,1030
8/22/00,2000,8,22,23.25,17.6,0.25,1070
9/6/00,2000,9,6,42,39.58,12,1090
9/20/00,2000,9,20,36,17.05,5,1050
10/4/00,2000,10,4,24,16.5,1,960
10/24/00,2000,10,24,27,23.69,8,920
5/16/01,2001,5,16,18.25,6.29,0.25,790
5/30/01,2001,5,30,28,4.54,8,860
6/13/01,2001,6,13,29,8.21,7,830
6/27/01,2001,6,27,28,25.76,3,850
7/11/01,2001,7,11,34,17.78,10,920
7/25/01,2001,7,25,20,7.3,8,910
8/9/01,2001,8,9,33,6.96,12,860
8/22/01,2001,8,22,37,16.12,10,860
9/6/01,2001,9,6,42,22.5,10,860
9/17/01,2001,9,17,48,26.19,13,790
10/3/01,2001,10,3,36,12.83,8,740
10/24/01,2001,10,24,33,17.95,9,720
5/22/02,2002,5,22,22,3.47,9,730
6/5/02,2002,6,5,23,8.36,8,720
6/18/02,2002,6,18,35,9.34,11,820
7/2/02,2002,7,2,29,12.31,11,920
7/16/02,2002,7,16,22,16.59,6,931
7/30/02,2002,7,30,26,11.7,7,880
8/13/02,2002,8,13,40,20.35,9,908
8/27/02,2002,8,27,41,13.38,11,800
9/10/02,2002,9,10,44,15.53,13,851
9/24/02,2002,9,24,45,30.98,9,798
10/8/02,2002,10,8,45,25.04,9,790
10/28/02,2002,10,28,48,18.32,11,753
5/5/03,2003,5,5,17,4.93,7,666
5/20/03,2003,5,20,25,5.58,7,637
6/2/03,2003,6,2,24,7.59,6,669
6/16/03,2003,6,16,33,17.49,5,678
6/30/03,2003,6,30,15,19.66,4,724
7/14/03,2003,7,14,17,14.74,12,676
7/28/03,2003,7,28,33,13.42,8,646
8/11/03,2003,8,11,38,19.07,2,654
8/25/03,2003,8,25,45,13.89,9,637
9/8/03,2003,9,8,36,13.82,10,598
9/22/03,2003,9,22,32,25.64,6,588
10/6/03,2003,10,6,27,10.27,8,611
10/28/03,2003,10,28,36,17.4,9,610
5/12/04,2004,5,12,27,21.85,6,624
5/26/04,2004,5,26,19,6.63,4,710
6/9/04,2004,6,9,30,4.9,10,725
6/23/04,2004,6,23,39,13.75,5,689
7/7/04,2004,7,7,36,49.4,5,772
7/20/04,2004,7,20,38,48.43,8,825
7/21/04,2004,7,21,31,37.8,8,812
7/22/04,2004,7,22,,,,776
8/4/04,2004,8,4,28,14.33,9,679
8/18/04,2004,8,18,41,20.18,12,690
9/1/04,2004,9,1,40,18.05,9,675
9/15/04,2004,9,15,36,16.25,11,698
9/29/04,2004,9,29,31,13.2,9,773
10/13/04,2004,10,13,33,24.07,9,727
10/26/04,2004,10,26,34,24.85,9,732
5/3/05,2005,5,3,33,12.18,7,664
5/11/05,2005,5,11,24,9.32,7,630
5/25/05,2005,5,25,29,5.64,6,654
6/8/05,2005,6,8,39,26.26,8,765
6/22/05,2005,6,22,49,58.18,9,830
7/6/05,2005,7,6,34,48.09,7,915
7/14/05,2005,7,14,,19.3,,
7/20/05,2005,7,20,22,11.77,8,838
8/3/05,2005,8,3,45,10.21,10,886
8/17/05,2005,8,17,32,21.16,8,774
8/31/05,2005,8,31,32,21.78,7,764
9/14/05,2005,9,14,35,14.81,10,726
9/28/05,2005,9,28,24,19.91,5,675
10/12/05,2005,10,12,29,15.2,8,599
10/31/05,2005,10,31,23,14.98,7,639
5/8/06,2006,5,8,19,0.82,8,616
5/24/06,2006,5,24,30,1.51,3,626
6/7/06,2006,6,7,33,18.48,7,627
6/21/06,2006,6,21,39,54.78,5,645
7/4/06,2006,7,4,22,4.39,7,565
7/19/06,2006,7,19,29,20.18,10,559
8/2/06,2006,8,2,32,4.97,10,538
8/16/06,2006,8,16,38,29.69,11,538
8/30/06,2006,8,30,33,14.51,9,519
9/13/06,2006,9,13,30,10.73,10,515
9/27/06,2006,9,27,33,,10,518
10/11/06,2006,10,11,39,2.17,8,524
10/31/06,2006,10,31,61,37.21,11,710
5/9/07,2007,5,9,29,6.6,10,579
5/22/07,2007,5,22,34,7.65,9,578
6/5/07,2007,6,5,38,14.39,8,541
6/19/07,2007,6,19,41,61.16,6,770
7/3/07,2007,7,3,38,84.66,6,936
7/17/07,2007,7,17,41,19.52,12,913
7/31/07,2007,7,31,34,11.57,9,901
8/14/07,2007,8,14,37,25.53,12,885
8/28/07,2007,8,28,42,30.64,12,813
9/11/07,2007,9,11,46,39.77,12,741
9/25/07,2007,9,25,40,47.94,7,718
10/9/07,2007,10,9,38,63.12,8,747
10/23/07,2007,10,23,41,54.85,10,774
5/13/08,2008,5,13,31,12.27,10,646
5/27/08,2008,5,27,27,11.55,6,702
6/10/08,2008,6,10,33,7.59,7,763
6/24/08,2008,6,24,42,39.45,9,730
7/8/08,2008,7,8,41,60.1,8,841
7/22/08,2008,7,22,21,8.17,9,
8/5/08,2008,8,5,21,11.2,7,
8/19/08,2008,8,19,407,23.18,384,
9/2/08,2008,9,2,29,13.55,8,
9/16/08,2008,9,16,29,13.21,9,
9/30/08,2008,9,30,33,20.34,8,
10/14/08,2008,10,14,8,2.49,2,
5/12/09,2009,5,12,23,8.8,7,
5/19/09,2009,5,19,23,7.34,7,
6/1/09,2009,6,1,26,5.07,8,
6/15/09,2009,6,15,20,3.91,8,
6/29/09,2009,6,29,42,39.94,8,
7/14/09,2009,7,14,44,68.91,6,
7/27/09,2009,7,27,33,52.73,8,
8/11/09,2009,8,11,22,14.08,8,
8/25/09,2009,8,25,18,15.97,7,
9/9/09,2009,9,9,36,32.23,10,
9/22/09,2009,9,22,25,58.76,8,
10/6/09,2009,10,6,23,26.35,7,
5/5/10,2010,5,5,19,12.46,4,602
5/18/10,2010,5,18,30,7.92,8,
6/1/10,2010,6,1,32,8.92,6,
6/2/10,2010,6,2,40,,7,
6/2/10,2010,6,2,38,,10,
6/14/10,2010,6,14,35,24.01,6,
6/15/10,2010,6,15,37,26.41,5,
6/29/10,2010,6,29,40,61.35,5,
6/29/10,2010,6,29,37,51.24,5,
7/12/10,2010,7,12,21,37.72,6,
7/13/10,2010,7,13,21,29.7,6,
7/27/10,2010,7,27,24,11.08,11,
7/27/10,2010,7,27,19,8.46,5,
8/9/10,2010,8,9,20,5.54,6,
8/10/10,2010,8,10,22,6.82,6,
8/23/10,2010,8,23,23,11.94,6,
8/24/10,2010,8,24,26,15.65,5,
9/8/10,2010,9,8,30,24.36,6,
9/20/10,2010,9,20,51,91.79,7,
9/21/10,2010,9,21,33,38.94,6,
10/5/10,2010,10,5,34,30.76,6,
10/14/10,2010,10,14,36,71.61,6,
5/5/11,2011,5,5,48,23.65,7,
5/17/11,2011,5,17,28,6.84,7,
5/31/11,2011,5,31,29.5,,0.5,
6/14/11,2011,6,14,40,41.72,7,
6/28/11,2011,6,28,41,67.65,6,
7/12/11,2011,7,12,25,41.36,7,
7/26/11,2011,7,26,22,13.5,6,
8/9/11,2011,8,9,27,19.59,6,
8/23/11,2011,8,23,36,43.04,7,
9/6/11,2011,9,6,35,,7,
9/20/11,2011,9,20,30,27.26,6,
10/4/11,2011,10,4,31,23.66,8,
10/18/11,2011,10,18,47,74.3,7,
5/8/12,2012,5,8,25,5.59,4,576
5/23/12,2012,5,23,36,11.66,7,615
6/5/12,2012,6,5,35,12.31,6,634
6/26/12,2012,6,26,47,78.79,8,700
7/3/12,2012,7,3,22,22.06,6,648
7/17/12,2012,7,17,27,10.36,9,558
7/31/12,2012,7,31,20,15.55,7,553
8/14/12,2012,8,14,28,35.02,6,555
8/28/12,2012,8,28,33,17.74,6,576
9/11/12,2012,9,11,39,62.68,7,618
9/25/12,2012,9,25,46,37.99,13,687
10/10/12,2012,10,10,47,57.52,10,626
10/25/12,2012,10,25,44,41.44,10,674
5/22/13,2013,5,22,27,7.77,8,811
6/18/13,2013,6,18,34,8.25,7,711
7/16/13,2013,7,16,23,5.46,7,612
8/13/13,2013,8,13,39,13.03,7,679
9/10/13,2013,9,10,45,41.13,8,628
10/8/13,2013,10,8,42,40.36,9,637
6/10/14,2014,6,10,20,,8,839
6/23/14,2014,6,23,31,,11,946
7/9/14,2014,7,9,32,,7,1001
7/22/14,2014,7,22,43,,8,1022
8/6/14,2014,8,6,20,,8,916
8/19/14,2014,8,19,26,,9,852
8/20/14,2014,8,20,,,,
9/3/14,2014,9,3,43,,11,826
9/16/14,2014,9,16,48,,10,835
9/29/14,2014,9,29,52,,2,810
10/15/14,2014,10,15,56,,11,780
10/28/14,2014,10,28,,,,
10/28/14,2014,10,28,46,,9,704
9/8/15,2015,9,8,38,41.64,8,679
6/1/15,2015,6,1,27,3.29,8,729
6/1/15,2015,6,1,26,3.74,9,724
7/13/15,2015,7,13,21,11.5,6,670
7/14/15,2015,7,14,,,,
9/8/15,2015,9,8,37,42.4,7,683
8/10/15,2015,8,10,26,18.74,7,657
8/24/15,2015,8,24,31,35.91,7,637
8/24/15,2015,8,24,35,37.89,7,652
8/10/15,2015,8,10,26,18.19,6,653
8/17/15,2015,8,17,,,,
8/12/15,2015,8,12,,,,
8/5/15,2015,8,5,,,,
7/27/15,2015,7,27,20,11.73,5,651
7/22/15,2015,7,22,27,11.54,7,633
7/27/15,2015,7,27,21,11.72,6,655
5/19/15,2015,5,19,26,7.44,6,723
5/25/15,2015,5,25,,,,
5/19/15,2015,5,19,25,6.41,6,735
6/8/15,2015,6,8,,,,
6/15/15,2015,6,15,30,25.27,6,720
6/15/15,2015,6,15,39,23.96,7,715
6/16/15,2015,6,16,,,,
6/24/15,2015,6,24,,,,
10/5/15,2015,10,5,36,13.04,13,680
6/9/15,2015,6,9,,,,
10/5/15,2015,10,5,37,13.33,14,713
6/29/15,2015,6,29,31,55.14,6,727
9/21/15,2015,9,21,41,35.94,9,655
9/21/15,2015,9,21,41,45.15,9,667
6/30/15,2015,6,30,,,,
6/29/15,2015,6,29,29,58.01,6,722
7/6/15,2015,7,6,,,,
7/6/15,2015,7,6,,,,
6/22/15,2015,6,22,,,,
7/13/15,2015,7,13,21,11.14,6,664
6/1/15,2015,6,1,,,,
5/10/16,2016,5,10,20,5,7,597
5/18/16,2016,5,18,24,6,8,591
5/30/16,2016,5,30,30,6,8,579
6/15/16,2016,6,15,,28,7,607
6/15/16,2016,6,15,31,28,6,628
6/29/16,2016,6,29,35,59,6,780
7/20/16,2016,7,20,20,21,7,887
7/20/16,2016,7,20,20,22,7,919
8/3/16,2016,8,3,23,,7,992
8/17/16,2016,8,17,29,,7,956
8/17/16,2016,8,17,29,,8,1020
8/31/16,2016,8,31,36,,9,861
9/14/16,2016,9,14,32,,8,779
9/14/16,2016,9,14,,,,
9/28/16,2016,9,28,42,,9,793
