date,Obs_TP,Obs_chla,Obs_TDP,Obs_PP,obs.O2.4m,obs.O2.6m,obs.O2.8m,obs.O2.10m,Year,Month,Day
6/27/72,57,65.1,7,50,3.71,0.01,0.01,,1972,6,27
7/11/72,59,126,9,50,2.10,0.01,0.01,0.01,1972,7,11
7/25/72,80,161,11,69,0.91,0.01,0.01,0.01,1972,7,25
8/8/72,85,68.3,22,63,0.40,0.01,0.01,0.01,1972,8,8
8/22/72,57,25.9,14,43,0.29,0.01,0.01,0.01,1972,8,22
9/5/72,61,35.4,15,46,0.50,0.01,0.01,0.01,1972,9,5
9/19/72,44,42.7,18,26,1.51,0.04,0.01,0.01,1972,9,19
9/26/72,,,,,,,,,1972,9,26
10/3/72,62,47.8,16,46,9.21,2.06,0.01,0.01,1972,10,3
10/17/72,47,48.8,14,33,9.40,,8.50,0.01,1972,10,17
12/12/72,,,,,7.87,6.69,2.10,0.01,1972,12,12
1/23/73,,,,,5.32,0.83,0.11,0.01,1973,1,23
2/20/73,,,,,1.60,0.10,0.01,0.01,1973,2,20
3/20/73,,,,,0.25,0.42,0.01,0.01,1973,3,20
4/12/73,,,,,2.74,0.05,0.01,0.01,1973,4,12
5/2/73,17,8.8,8,9,4.68,0.01,0.01,0.01,1973,5,2
5/15/73,14,4.9,6,8,5.28,0.01,0.01,0.01,1973,5,15
5/28/73,21,14.2,7,14,5.04,0.01,0.01,0.01,1973,5,28
6/11/73,50,52.6,7,43,10.65,0.01,0.01,0.01,1973,6,11
6/25/73,56,110,9,47,3.50,0.01,0.01,0.01,1973,6,25
7/9/73,73,155,8,65,2.30,0.01,0.01,0.01,1973,7,9
7/23/73,76,191,19,57,0.01,0.01,0.01,0.01,1973,7,23
8/6/73,56,23.3,12,44,0.01,0.01,0.01,0.01,1973,8,6
8/20/73,43,16.9,10,33,0.01,0.01,0.01,0.01,1973,8,20
9/3/73,24,14.2,9,15,0.01,0.01,0.01,0.01,1973,9,3
9/17/73,29,20.6,6,23,1.75,0.01,0.01,0.01,1973,9,17
10/1/73,163,24.9,9,154,9.00,0.01,0.01,0.01,1973,10,1
10/15/73,30,61.9,7,23,8.33,0.01,0.01,,1973,10,15
10/29/73,12,23.3,12,,7.46,6.64,0.01,0.01,1973,10,29
11/6/73,,,,,6.83,6.85,6.10,0.01,1973,11,6
12/18/73,,,,,1.58,0.12,0.01,0.01,1973,12,18
1/22/74,,,,,0.02,0.01,0.01,0.01,1974,1,22
