datenum,date,obs.Temp1m,obs.Temp4m,obs.Temp9m,,,,,,,
20151109,11/9/15,5.56,5.48,5.06,,,,,,,
20160117,1/17/16,3.02,3.95,4.29,,,,,,,
20160314,3/14/16,2.75,4.06,4.29,,,,,,,
20160510,5/10/16,15.65,4.81,4.38,,,,,,,
20160518,5/18/16,12.38,5.52,4.4,,,,,,,
20160530,5/30/16,17.05,6.11,4.42,,,,,,,
20160615,6/15/16,19.58,7.02,4.48,,,,,,,
20160629,6/29/16,19.52,7.31,4.54,,,,,,,
20160720,7/20/16,22.6,8.2,4.63,,,,,,,
20160803,8/3/16,23.74,8.91,,,,,,,,
20160817,8/17/16,23.52,9.48,,,,,,,,
20160831,8/31/16,19.87,9.42,4.76,,,,,,,
20160914,9/14/16,16.81,9.33,4.78,,,,,,,
20160928,9/28/16,13.47,11.88,4.82,,,,,,,
20161020,10/20/16,8.18,8.16,4.94,,,,,,,
20161028,10/28/16,6.79,6.75,4.97,,,,,,,
20161107,11/7/16,7.02,6.3,4.96,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
