Start Date,Start Depth (m),Stratum,NO3 (ÂµgÂ·LË‰Â¹),NH4  (ÂµgÂ·LË‰Â¹),Susp N (ÂµgÂ·LË‰Â¹),TDN (ÂµgÂ·LË‰Â¹),SRP (ÂµgÂ·LË‰Â¹),Susp P (ÂµgÂ·LË‰Â¹),TDP (ÂµgÂ·LË‰Â¹),PN:PP,TDN:TDP,TN:TP,DIN:TDP,PN:PP,TDN:TDP,TN:TP,DIN:TDP
6/14/68,0,EPI,4,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,
7/5/68,0,EPI,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,
11/8/68,0,EPI,1,,,195,,,8,#DIV/0!,24.375,24.375,0.125,,24.4,24.4,0.1
1/21/69,0,EPI,14,,,200,,,4,#DIV/0!,50,50,3.5,,50.0,50.0,3.5
3/16/69,0,EPI,17,98,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,
4/22/69,0,EPI,125,,3,225,,3,7,1,32.14285714,22.8,17.85714286,1,32.1,22.8,17.9
5/7/69,0,EPI,80,,,250,,,7,#DIV/0!,35.71428571,35.71428571,11.42857143,,35.7,35.7,11.4
5/17/69,0,EPI,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,
5/27/69,0,EPI,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,
6/5/69,0,EPI,9,,36,156,,1,13,36,12,13.71428571,0.692307692,36,12.0,13.7,0.7
6/11/69,0,EPI,1,,70,144,,9,3,7.777777778,48,17.83333333,0.333333333,7.777777778,48.0,17.8,0.3
6/19/69,0,EPI,1,,79,143,,2,5,39.5,28.6,31.71428571,0.2,39.5,28.6,31.7,0.2
6/25/69,0,EPI,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,
6/26/69,0,EPI,13,,96,132,,1,6,96,22,32.57142857,2.166666667,96,22.0,32.6,2.2
7/3/69,0,EPI,9,,142,182,,1,9,142,20.22222222,32.4,1,142,20.2,32.4,1.0
7/7/69,0,EPI,84,,510,221,,2,3,255,73.66666667,146.2,28,255,73.7,146.2,28.0
7/9/69,0,EPI,,31,163,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,
7/17/69,0,EPI,92,12,196,266,,4,16,49,16.625,23.1,6.5,49,16.6,23.1,6.5
7/22/69,0,EPI,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,
7/24/69,0,EPI,74,5,240,250,,16,12,15,20.83333333,17.5,6.583333333,15,20.8,17.5,6.6
7/30/69,0,EPI,107,16,260,275,,33,13,7.878787879,21.15384615,11.63043478,9.461538462,7.878787879,21.2,11.6,9.5
8/3/69,0,EPI,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,
8/7/69,0,EPI,79,8,300,255,,29,5,10.34482759,51,16.32352941,17.4,10.34482759,51.0,16.3,17.4
8/20/69,0,EPI,116,5,230,310,,20,8,11.5,38.75,19.28571429,15.125,11.5,38.8,19.3,15.1
8/22/69,0,EPI,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,
8/27/69,0,EPI,109,14,195,280,,22,6,8.863636364,46.66666667,16.96428571,20.5,8.863636364,46.7,17.0,20.5
9/3/69,0,EPI,87,,,245,,,9,#DIV/0!,27.22222222,27.22222222,9.666666667,,27.2,27.2,9.7
9/8/69,0,EPI,85,2,235,220,,25,2,9.4,110,16.85185185,43.5,9.4,110.0,16.9,43.5
9/17/69,0,EPI,116,5,185,215,,15,4,12.33333333,53.75,21.05263158,30.25,12.33333333,53.8,21.1,30.3
9/24/69,0,EPI,130,,,180,,,3,#DIV/0!,60,60,43.33333333,,60.0,60.0,43.3
10/1/69,0,EPI,150,,375,160,,,7,#DIV/0!,22.85714286,76.42857143,21.42857143,,22.9,76.4,21.4
10/16/69,0,EPI,245,54,215,515,,14,10,15.35714286,51.5,30.41666667,29.9,15.35714286,51.5,30.4,29.9
10/29/69,0,EPI,280,,130,485,,6,5,21.66666667,97,55.90909091,56,21.66666667,97.0,55.9,56.0
11/12/69,0,EPI,,,120,,,10,,12,#DIV/0!,12,#DIV/0!,12,,12.0,
12/9/69,0,EPI,330,92,60,330,,12,4,5,82.5,24.375,105.5,5,82.5,24.4,105.5
1/22/70,0,EPI,389,14,90,495,,10,5,9,99,39,80.6,9,99.0,39.0,80.6
2/26/70,0,EPI,350,80,110,525,,8,3,13.75,175,57.72727273,143.3333333,13.75,175.0,57.7,143.3
4/9/70,0,EPI,530,42,130,625,,13,1,10,625,53.92857143,572,10,625.0,53.9,572.0
5/8/70,0,EPI,171,14,100,,,7,,14.28571429,#DIV/0!,14.28571429,#DIV/0!,14.28571429,,14.3,
5/16/70,0,EPI,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,
5/18/70,0,EPI,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,
5/19/70,0,EPI,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,
5/25/70,0,EPI,262,2,120,,,7,7,17.14285714,0,8.571428571,37.71428571,17.14285714,,8.6,37.7
5/26/70,0,EPI,346,2,95,,,12,9,7.916666667,0,4.523809524,38.66666667,7.916666667,,4.5,38.7
5/27/70,0,EPI,382,4,140,,,13,3,10.76923077,0,8.75,128.6666667,10.76923077,,8.8,128.7
6/2/70,0,EPI,276,1,100,,,12,4,8.333333333,0,6.25,69.25,8.333333333,,6.3,69.3
6/9/70,0,EPI,221,4,230,,,16,1,14.375,0,13.52941176,225,14.375,,13.5,225.0
6/16/70,0,EPI,187,45,330,,,17,5,19.41176471,0,15,46.4,19.41176471,,15.0,46.4
6/23/70,0,EPI,110,15,480,,,22,7,21.81818182,0,16.55172414,17.85714286,21.81818182,,16.6,17.9
6/30/70,0,EPI,70,1,,,,21,1,0,0,0,71,,,,71.0
7/7/70,0,EPI,23,9,,,,23,3,0,0,0,10.66666667,,,,10.7
7/14/70,0,EPI,1,27,,,,29,7,0,0,0,4,,,,4.0
7/21/70,0,EPI,1,5,600,,,40,9,15,0,12.24489796,0.666666667,15,,12.2,0.7
7/28/70,0,EPI,525,8,90,610,,18,3,5,203.3333333,33.33333333,177.6666667,5,203.3,33.3,177.7
8/4/70,0,EPI,1,9,320,420,,29,,11.03448276,#DIV/0!,25.51724138,#DIV/0!,11.03448276,,25.5,
8/11/70,0,EPI,1,9,500,425,,34,6,14.70588235,70.83333333,23.125,1.666666667,14.70588235,70.8,23.1,1.7
8/18/70,0,EPI,10,8,410,445,,50,,8.2,#DIV/0!,17.1,#DIV/0!,8.2,,17.1,
8/25/70,0,EPI,1,10,445,440,,34,9,13.08823529,48.88888889,20.58139535,1.222222222,13.08823529,48.9,20.6,1.2
9/1/70,0,EPI,1,5,425,425,,25,12,17,35.41666667,22.97297297,0.5,17,35.4,23.0,0.5
9/8/70,0,EPI,1,2,495,600,,33,16,15,37.5,22.34693878,0.1875,15,37.5,22.3,0.2
9/15/70,0,EPI,1,5,320,430,,28,10,11.42857143,43,19.73684211,0.6,11.42857143,43.0,19.7,0.6
