Start Date,Start Depth (m),Stratum,NO3 (ÂµgÂ·LË‰Â¹),NH4  (ÂµgÂ·LË‰Â¹),Susp N (ÂµgÂ·LË‰Â¹),TDN (ÂµgÂ·LË‰Â¹),SRP (ÂµgÂ·LË‰Â¹),Susp P (ÂµgÂ·LË‰Â¹),TDP (ÂµgÂ·LË‰Â¹),PN:PP,TDN:TDP,TN:TP,DIN:TDP,PN:PP,TDN:TDP,TN:TP,DIN:TDP
9/22/70,0,EPI,1,5,260,336,,17,7,15.29411765,48,24.83333333,0.857142857,15.29411765,48.0,24.8,0.9
9/29/70,0,EPI,3,39,190,415,,20,13,9.5,31.92307692,18.33333333,3.230769231,9.5,31.9,18.3,3.2
10/6/70,0,EPI,53,153,150,515,,21,14,7.142857143,36.78571429,19,14.71428571,7.142857143,36.8,19.0,14.7
10/13/70,0,EPI,122,446,160,1120,,22,12,7.272727273,93.33333333,37.64705882,47.33333333,7.272727273,93.3,37.6,47.3
10/20/70,0,EPI,178,420,,1135,,,9,#DIV/0!,126.1111111,126.1111111,66.44444444,,126.1,126.1,66.4
10/27/70,0,EPI,183,354,125,920,,18,8,6.944444444,115,40.19230769,67.125,6.944444444,115.0,40.2,67.1
11/10/70,0,EPI,148,268,215,700,,15,11,14.33333333,63.63636364,35.19230769,37.81818182,14.33333333,63.6,35.2,37.8
12/9/70,0,EPI,192,396,136,1260,,23,13,5.913043478,96.92307692,38.77777778,45.23076923,5.913043478,96.9,38.8,45.2
1/19/71,0,EPI,152,778,141,1040,,13,14,10.84615385,74.28571429,43.74074074,66.42857143,10.84615385,74.3,43.7,66.4
3/31/71,0,EPI,339,315,152,971,,12,12,12.66666667,80.91666667,46.79166667,54.5,12.66666667,80.9,46.8,54.5
5/4/71,0,EPI,295,122,96,390,,10,47,9.6,8.29787234,8.526315789,8.872340426,9.6,8.3,8.5,8.9
5/11/71,0,EPI,151,114,60,496,,10,11,6,45.09090909,26.47619048,24.09090909,6,45.1,26.5,24.1
5/18/71,0,EPI,233,31,88,637,,7,6,12.57142857,106.1666667,55.76923077,44,12.57142857,106.2,55.8,44.0
5/25/71,0,EPI,313,3,202,1120,,14,33,14.42857143,33.93939394,28.12765957,9.575757576,14.42857143,33.9,28.1,9.6
6/1/71,0,EPI,259,1,101,327,,,50,#DIV/0!,6.54,8.56,5.2,,6.5,8.6,5.2
6/8/71,0,EPI,106,1,285,265,,18,1,15.83333333,265,28.94736842,107,15.83333333,265.0,28.9,107.0
6/15/71,0,EPI,8,7,442,284,,72,14,6.138888889,20.28571429,8.441860465,1.071428571,6.138888889,20.3,8.4,1.1
6/22/71,0,EPI,2,8,366,274,,11,8,33.27272727,34.25,33.68421053,1.25,33.27272727,34.3,33.7,1.3
6/25/71,0,EPI,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,
6/29/71,0,EPI,30,12,269,344,,13,14,20.69230769,24.57142857,22.7037037,3,20.69230769,24.6,22.7,3.0
7/6/71,0,EPI,20,13,326,398,,19,11,17.15789474,36.18181818,24.13333333,3,17.15789474,36.2,24.1,3.0
7/13/71,0,EPI,1,3,401,201,,24,15,16.70833333,13.4,15.43589744,0.266666667,16.70833333,13.4,15.4,0.3
7/20/71,0,EPI,,,399,,,24,,16.625,#DIV/0!,16.625,#DIV/0!,16.625,,16.6,
7/27/71,0,EPI,34,28,177,252,,9,11,19.66666667,22.90909091,21.45,5.636363636,19.66666667,22.9,21.5,5.6
8/3/71,0,EPI,136,28,209,336,,16,14,13.0625,24,18.16666667,11.71428571,13.0625,24.0,18.2,11.7
8/10/71,0,EPI,122,12,253,325,,16,4,15.8125,81.25,28.9,33.5,15.8125,81.3,28.9,33.5
8/17/71,0,EPI,2,17,378,231,,19,6,19.89473684,38.5,24.36,3.166666667,19.89473684,38.5,24.4,3.2
8/24/71,0,EPI,5,48,432,288,,21,3,20.57142857,96,30,17.66666667,20.57142857,96.0,30.0,17.7
8/31/71,0,EPI,1,20,424,187,,27,18,15.7037037,10.38888889,13.57777778,1.166666667,15.7037037,10.4,13.6,1.2
9/7/71,0,EPI,5,17,347,275,,27,13,12.85185185,21.15384615,15.55,1.692307692,12.85185185,21.2,15.6,1.7
9/14/71,0,EPI,86,31,318,294,,35,6,9.085714286,49,14.92682927,19.5,9.085714286,49.0,14.9,19.5
9/21/71,0,EPI,195,6,232,326,,25,9,9.28,36.22222222,16.41176471,22.33333333,9.28,36.2,16.4,22.3
9/28/71,0,EPI,224,12,181,302,,15,11,12.06666667,27.45454545,18.57692308,21.45454545,12.06666667,27.5,18.6,21.5
10/5/71,0,EPI,270,4,122,348,,12,11,10.16666667,31.63636364,20.43478261,24.90909091,10.16666667,31.6,20.4,24.9
10/12/71,0,EPI,323,57,314,359,,14,15,22.42857143,23.93333333,23.20689655,25.33333333,22.42857143,23.9,23.2,25.3
10/19/71,0,EPI,322,119,,409,,7,10,0,40.9,24.05882353,44.1,,40.9,24.1,44.1
10/26/71,0,EPI,379,9,73,598,,9,10,8.111111111,59.8,35.31578947,38.8,8.111111111,59.8,35.3,38.8
11/9/71,0,EPI,355,408,90,639,,12,10,7.5,63.9,33.13636364,76.3,7.5,63.9,33.1,76.3
12/16/71,0,EPI,353,424,107,783,,18,9,5.944444444,87,32.96296296,86.33333333,5.944444444,87.0,33.0,86.3
1/18/72,0,EPI,340,397,68,686,,4,5,17,137.2,83.77777778,147.4,17,137.2,83.8,147.4
4/6/72,0,EPI,479,14,50,1138,,4,18,12.5,63.22222222,54,27.38888889,12.5,63.2,54.0,27.4
5/9/72,0,EPI,316,8,99,372,,7,6,14.14285714,62,36.23076923,54,14.14285714,62.0,36.2,54.0
5/16/72,0,EPI,283,16,68,633,,7,5,9.714285714,126.6,58.41666667,59.8,9.714285714,126.6,58.4,59.8
5/30/72,0,EPI,31,8,323,,,29,9,11.13793103,0,8.5,4.333333333,11.13793103,,8.5,4.3
6/13/72,0,EPI,1,28,565,464,,39,8,14.48717949,58,21.89361702,3.625,14.48717949,58.0,21.9,3.6
6/27/72,0,EPI,1,8,512,386,,50,7,10.24,55.14285714,15.75438596,1.285714286,10.24,55.1,15.8,1.3
7/11/72,0,EPI,1,8,750,338,,50,9,15,37.55555556,18.44067797,1,15,37.6,18.4,1.0
7/25/72,0,EPI,1,14,746,465,,69,11,10.8115942,42.27272727,15.1375,1.363636364,10.8115942,42.3,15.1,1.4
8/8/72,0,EPI,1,5,680,582,,63,22,10.79365079,26.45454545,14.84705882,0.272727273,10.79365079,26.5,14.8,0.3
8/22/72,0,EPI,1,3,328,806,,43,14,7.627906977,57.57142857,19.89473684,0.285714286,7.627906977,57.6,19.9,0.3
9/5/72,0,EPI,1,12,365,466,,46,15,7.934782609,31.06666667,13.62295082,0.866666667,7.934782609,31.1,13.6,0.9
9/19/72,0,EPI,39,3,299,,,26,18,11.5,0,6.795454545,2.333333333,11.5,,6.8,2.3
9/26/72,0,EPI,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,
10/3/72,0,EPI,31,2,270,483,,46,16,5.869565217,30.1875,12.14516129,2.0625,5.869565217,30.2,12.1,2.1
10/17/72,0,EPI,63,191,239,671,,33,14,7.242424242,47.92857143,19.36170213,18.14285714,7.242424242,47.9,19.4,18.1
12/12/72,0,EPI,110,280,180,937,,19,13,9.473684211,72.07692308,34.90625,30,9.473684211,72.1,34.9,30.0
1/23/73,0,EPI,111,292,165,746,,13,9,12.69230769,82.88888889,41.40909091,44.77777778,12.69230769,82.9,41.4,44.8
2/20/73,0,EPI,118,315,,810,,12,9,0,90,38.57142857,48.11111111,,90.0,38.6,48.1
3/20/73,0,EPI,127,338,78,864,,10,8,7.8,108,52.33333333,58.125,7.8,108.0,52.3,58.1
4/12/73,0,EPI,,106,217,1700,,17,9,12.76470588,188.8888889,73.73076923,11.77777778,12.76470588,188.9,73.7,11.8
5/2/73,0,EPI,82,46,138,447,,9,8,15.33333333,55.875,34.41176471,16,15.33333333,55.9,34.4,16.0
5/15/73,0,EPI,43,6,110,364,,8,6,13.75,60.66666667,33.85714286,8.166666667,13.75,60.7,33.9,8.2
5/28/73,0,EPI,1,7,191,333,,14,7,13.64285714,47.57142857,24.95238095,1.142857143,13.64285714,47.6,25.0,1.1
6/11/73,0,EPI,2,20,392,344,,43,7,9.11627907,49.14285714,14.72,3.142857143,9.11627907,49.1,14.7,3.1
6/25/73,0,EPI,1,25,587,,,47,9,12.4893617,0,10.48214286,2.888888889,12.4893617,,10.5,2.9
7/9/73,0,EPI,1,2,808,,,65,8,12.43076923,0,11.06849315,0.375,12.43076923,,11.1,0.4
7/23/73,0,EPI,1,5,1046,191,,57,19,18.35087719,10.05263158,16.27631579,0.315789474,18.35087719,10.1,16.3,0.3
8/6/73,0,EPI,1,5,730,126,,44,12,16.59090909,10.5,15.28571429,0.5,16.59090909,10.5,15.3,0.5
8/20/73,0,EPI,1,3,981,433,,33,10,29.72727273,43.3,32.88372093,0.4,29.72727273,43.3,32.9,0.4
9/3/73,0,EPI,1,6,286,358,,15,9,19.06666667,39.77777778,26.83333333,0.777777778,19.06666667,39.8,26.8,0.8
9/17/73,0,EPI,1,8,242,340,,23,6,10.52173913,56.66666667,20.06896552,1.5,10.52173913,56.7,20.1,1.5
10/1/73,0,EPI,1,22,315,331,,154,9,2.045454545,36.77777778,3.963190184,2.555555556,2.045454545,36.8,4.0,2.6
10/15/73,0,EPI,68,57,312,410,,23,7,13.56521739,58.57142857,24.06666667,17.85714286,13.56521739,58.6,24.1,17.9
10/29/73,0,EPI,133,217,300,823,,,12,#DIV/0!,68.58333333,93.58333333,29.16666667,,68.6,93.6,29.2
11/6/73,0,EPI,153,546,210,1068,,16,9,13.125,118.6666667,51.12,77.66666667,13.125,118.7,51.1,77.7
12/18/73,0,EPI,161,574,130,1057,,12,7,10.83333333,151,62.47368421,105,10.83333333,151.0,62.5,105.0
1/22/74,0,EPI,152,609,97,966,,14,10,6.928571429,96.6,44.29166667,76.1,6.928571429,96.6,44.3,76.1
2/26/74,0,EPI,55,652,163,950,,25,7,6.52,135.7142857,34.78125,101,6.52,135.7,34.8,101.0
4/2/74,0,EPI,3,669,122,1071,,23,6,5.304347826,178.5,41.13793103,112,5.304347826,178.5,41.1,112.0
5/6/74,0,EPI,21,394,94,845,,13,8,7.230769231,105.625,44.71428571,51.875,7.230769231,105.6,44.7,51.9
5/21/74,0,EPI,94,170,61,531,,6,6,10.16666667,88.5,49.33333333,44,10.16666667,88.5,49.3,44.0
5/28/74,0,EPI,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,
6/4/74,0,EPI,134,8,302,366,,16,6,18.875,61,30.36363636,23.66666667,18.875,61.0,30.4,23.7
6/18/74,0,EPI,1,9,493,419,,33,8,14.93939394,52.375,22.24390244,1.25,14.93939394,52.4,22.2,1.3
7/2/74,0,EPI,1,11,588,417,,43,11,13.6744186,37.90909091,18.61111111,1.090909091,13.6744186,37.9,18.6,1.1
7/16/74,0,EPI,1,11,266,516,,24,11,11.08333333,46.90909091,22.34285714,1.090909091,11.08333333,46.9,22.3,1.1
7/30/74,0,EPI,1,7,231,464,,16,12,14.4375,38.66666667,24.82142857,0.666666667,14.4375,38.7,24.8,0.7
8/13/74,0,EPI,1,2,412,470,,32,10,12.875,47,21,0.3,12.875,47.0,21.0,0.3
8/27/74,0,EPI,27,6,405,521,,28,9,14.46428571,57.88888889,25.02702703,3.666666667,14.46428571,57.9,25.0,3.7
9/3/74,0,EPI,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,
9/10/74,0,EPI,21,15,439,518,,28,10,15.67857143,51.8,25.18421053,3.6,15.67857143,51.8,25.2,3.6
9/24/74,0,EPI,44,11,481,493,,34,9,14.14705882,54.77777778,22.65116279,6.111111111,14.14705882,54.8,22.7,6.1
10/8/74,0,EPI,122,257,450,784,,31,8,14.51612903,98,31.64102564,47.375,14.51612903,98.0,31.6,47.4
10/22/74,0,EPI,159,441,412,1066,,28,8,14.71428571,133.25,41.05555556,75,14.71428571,133.3,41.1,75.0
11/5/74,0,EPI,168,413,390,1018,,26,7,15,145.4285714,42.66666667,83,15,145.4,42.7,83.0
11/21/74,0,EPI,165,411,383,1128,,22,8,17.40909091,141,50.36666667,72,17.40909091,141.0,50.4,72.0
12/11/74,0,EPI,181,524,276,1105,,17,8,16.23529412,138.125,55.24,88.125,16.23529412,138.1,55.2,88.1
1/22/75,0,EPI,171,520,179,1152,,11,8,16.27272727,144,70.05263158,86.375,16.27272727,144.0,70.1,86.4
3/4/75,0,EPI,173,469,139,1100,,8,5,17.375,220,95.30769231,128.4,17.375,220.0,95.3,128.4
4/1/75,0,EPI,169,410,128,1030,,9,4,14.22222222,257.5,89.07692308,144.75,14.22222222,257.5,89.1,144.8
5/13/75,0,EPI,96,216,146,876,,23,9,6.347826087,97.33333333,31.9375,34.66666667,6.347826087,97.3,31.9,34.7
5/27/75,0,EPI,42,11,264,417,,16,6,16.5,69.5,30.95454545,8.833333333,16.5,69.5,31.0,8.8
5/27/75,0,EPI,44,11,249,413,,15,7,16.6,59,30.09090909,7.857142857,16.6,59.0,30.1,7.9
6/10/75,0,EPI,2,8,397,396,,27,6,14.7037037,66,24.03030303,1.666666667,14.7037037,66.0,24.0,1.7
6/10/75,0,EPI,3,9,363,831,,29,8,12.51724138,103.875,32.27027027,1.5,12.51724138,103.9,32.3,1.5
6/10/75,0,EPI,3,8,417,800,,34,8,12.26470588,100,28.97619048,1.375,12.26470588,100.0,29.0,1.4
6/24/75,0,EPI,5,12,358,440,,25,8,14.32,55,24.18181818,2.125,14.32,55.0,24.2,2.1
6/24/75,0,EPI,5,12,324,400,,23,8,14.08695652,50,23.35483871,2.125,14.08695652,50.0,23.4,2.1
7/8/75,0,EPI,2,4,278,463,,27,13,10.2962963,35.61538462,18.525,0.461538462,10.2962963,35.6,18.5,0.5
7/8/75,0,EPI,3,4,267,519,,26,14,10.26923077,37.07142857,19.65,0.5,10.26923077,37.1,19.7,0.5
7/8/75,0,EPI,2,5,290,469,,26,13,11.15384615,36.07692308,19.46153846,0.538461538,11.15384615,36.1,19.5,0.5
7/22/75,0,EPI,1,6,306,514,,33,16,9.272727273,32.125,16.73469388,0.4375,9.272727273,32.1,16.7,0.4
7/22/75,0,EPI,1,3,312,499,,32,16,9.75,31.1875,16.89583333,0.25,9.75,31.2,16.9,0.3
8/5/75,0,EPI,2,2,210,436,,19,12,11.05263158,36.33333333,20.83870968,0.333333333,11.05263158,36.3,20.8,0.3
8/5/75,0,EPI,1,2,198,456,,21,12,9.428571429,38,19.81818182,0.25,9.428571429,38.0,19.8,0.3
8/5/75,0,EPI,2,2,210,443,,20,12,10.5,36.91666667,20.40625,0.333333333,10.5,36.9,20.4,0.3
8/19/75,0,EPI,4,2,148,393,,21,10,7.047619048,39.3,17.4516129,0.6,7.047619048,39.3,17.5,0.6
8/19/75,0,EPI,2,2,125,404,,22,10,5.681818182,40.4,16.53125,0.4,5.681818182,40.4,16.5,0.4
9/2/75,0,EPI,1,4,170,406,,21,11,8.095238095,36.90909091,18,0.454545455,8.095238095,36.9,18.0,0.5
9/2/75,0,EPI,3,,208,,,63,,3.301587302,#DIV/0!,3.301587302,#DIV/0!,3.301587302,,3.3,
9/2/75,0,EPI,4,1,190,406,,23,11,8.260869565,36.90909091,17.52941176,0.454545455,8.260869565,36.9,17.5,0.5
9/16/75,0,EPI,5,8,315,414,,21,9,15,46,24.3,1.444444444,15,46.0,24.3,1.4
9/16/75,0,EPI,6,4,313,424,,22,9,14.22727273,47.11111111,23.77419355,1.111111111,14.22727273,47.1,23.8,1.1
9/30/75,0,EPI,1,6,264,445,,17,13,15.52941176,34.23076923,23.63333333,0.538461538,15.52941176,34.2,23.6,0.5
9/30/75,0,EPI,1,10,260,421,,20,13,13,32.38461538,20.63636364,0.846153846,13,32.4,20.6,0.8
9/30/75,0,EPI,1,13,289,476,,19,14,15.21052632,34,23.18181818,1,15.21052632,34.0,23.2,1.0
10/14/75,0,EPI,1,32,133,462,,14,9,9.5,51.33333333,25.86956522,3.666666667,9.5,51.3,25.9,3.7
10/14/75,0,EPI,2,32,136,453,,15,9,9.066666667,50.33333333,24.54166667,3.777777778,9.066666667,50.3,24.5,3.8
10/28/75,0,EPI,22,462,204,907,,12,8,17,113.375,55.55,60.5,17,113.4,55.6,60.5
10/28/75,0,EPI,22,434,168,993,,13,8,12.92307692,124.125,55.28571429,57,12.92307692,124.1,55.3,57.0
10/28/75,0,EPI,22,444,120,889,,13,7,9.230769231,127,50.45,66.57142857,9.230769231,127.0,50.5,66.6
11/11/75,0,EPI,32,658,99,1180,,10,7,9.9,168.5714286,75.23529412,98.57142857,9.9,168.6,75.2,98.6
11/11/75,0,EPI,32,675,142,1250,,10,7,14.2,178.5714286,81.88235294,101,14.2,178.6,81.9,101.0
1/7/76,0,EPI,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,
4/2/76,0,EPI,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,
5/11/76,0,EPI,132,199,133,852,,12,8,11.08333333,106.5,49.25,41.375,11.08333333,106.5,49.3,41.4
5/25/76,0,EPI,110,10,185,682,,11,6,16.81818182,113.6666667,51,20,16.81818182,113.7,51.0,20.0
5/25/76,0,EPI,105,10,114,668,,9,6,12.66666667,111.3333333,52.13333333,19.16666667,12.66666667,111.3,52.1,19.2
6/8/76,0,EPI,1,5,264,468,,16,5,16.5,93.6,34.85714286,1.2,16.5,93.6,34.9,1.2
6/8/76,0,EPI,3,5,314,470,,20,6,15.7,78.33333333,30.15384615,1.333333333,15.7,78.3,30.2,1.3
6/22/76,0,EPI,7,12,260,526,,21,9,12.38095238,58.44444444,26.2,2.111111111,12.38095238,58.4,26.2,2.1
6/22/76,0,EPI,2,13,267,488,,21,9,12.71428571,54.22222222,25.16666667,1.666666667,12.71428571,54.2,25.2,1.7
7/6/76,0,EPI,2,15,270,514,,22,8,12.27272727,64.25,26.13333333,2.125,12.27272727,64.3,26.1,2.1
7/6/76,0,EPI,1,12,332,556,,21,9,15.80952381,61.77777778,29.6,1.444444444,15.80952381,61.8,29.6,1.4
7/20/76,0,EPI,1,9,336,610,,21,10,16,61,30.51612903,1,16,61.0,30.5,1.0
7/20/76,0,EPI,4,19,271,724,,21,10,12.9047619,72.4,32.09677419,2.3,12.9047619,72.4,32.1,2.3
8/3/76,0,EPI,1,10,,550,,19,9,0,61.11111111,19.64285714,1.222222222,,61.1,19.6,1.2
8/3/76,0,EPI,1,10,316,550,,20,9,15.8,61.11111111,29.86206897,1.222222222,15.8,61.1,29.9,1.2
8/17/76,0,EPI,1,5,367,526,,23,8,15.95652174,65.75,28.80645161,0.75,15.95652174,65.8,28.8,0.8
8/17/76,0,EPI,1,4,367,564,,23,8,15.95652174,70.5,30.03225806,0.625,15.95652174,70.5,30.0,0.6
8/31/76,0,EPI,1,2,309,546,,21,9,14.71428571,60.66666667,28.5,0.333333333,14.71428571,60.7,28.5,0.3
8/31/76,0,EPI,1,2,317,540,,20,9,15.85,60,29.55172414,0.333333333,15.85,60.0,29.6,0.3
9/14/76,0,EPI,1,4,267,505,,22,6,12.13636364,84.16666667,27.57142857,0.833333333,12.13636364,84.2,27.6,0.8
9/14/76,0,EPI,1,3,288,535,,22,6,13.09090909,89.16666667,29.39285714,0.666666667,13.09090909,89.2,29.4,0.7
9/28/76,0,EPI,1,4,310,520,,23,7,13.47826087,74.28571429,27.66666667,0.714285714,13.47826087,74.3,27.7,0.7
9/28/76,0,EPI,1,4,329,550,,23,7,14.30434783,78.57142857,29.3,0.714285714,14.30434783,78.6,29.3,0.7
10/12/76,0,EPI,10,59,538,590,,36,6,14.94444444,98.33333333,26.85714286,11.5,14.94444444,98.3,26.9,11.5
10/12/76,0,EPI,11,55,512,600,,38,6,13.47368421,100,25.27272727,11,13.47368421,100.0,25.3,11.0
12/16/76,0,EPI,45,228,762,750,,72,6,10.58333333,125,19.38461538,45.5,10.58333333,125.0,19.4,45.5
1/25/77,0,EPI,42,314,231,845,,22,9,10.5,93.88888889,34.70967742,39.55555556,10.5,93.9,34.7,39.6
3/3/77,0,EPI,42,327,425,750,,17,4,25,187.5,55.95238095,92.25,25,187.5,56.0,92.3
3/29/77,0,EPI,45,375,228,880,,22,6,10.36363636,146.6666667,39.57142857,70,10.36363636,146.7,39.6,70.0
