location,sublocation,start_date,manipulation_type,item,item_description,manipulation_method,method_description,percent_purity,specific_gravity,amount,amount_units,corrected_amount,corrected_units,start_time,end_time,end_date,observation
227,LA,04-Aug-70,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,04-Aug-70,
227,LA,11-Aug-70,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,11-Aug-70,
227,LA,18-Aug-70,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,18-Aug-70,
227,LA,25-Aug-70,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,25-Aug-70,
227,LA,01-Sep-70,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,01-Sep-70,
227,LA,08-Sep-70,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,08-Sep-70,
227,LA,15-Sep-70,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,15-Sep-70,
227,LA,22-Sep-70,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,22-Sep-70,
227,LA,29-Sep-70,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,29-Sep-70,
227,LA,06-Oct-70,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,06-Oct-70,
