z	 POPzt	 POCzt	 DOPzt	 DOCzt	 O2zt	 NO3zt	 NH4zt	 NH3zt	 FeOH3zt	 FeOOHzt	 Fe2zt	 SO4zt	 H2Szt	 HSzt	 PO4zt	 PO4adsazt	 PO4adsbzt	 S0zt	 S8zt	 FeSzt	 FeS2zt	 AlOH3zt	 Ca2zt	 Ca3PO42zt	 OMSzt	 Hzt	 CaCO3zt	 CO2zt	 CO3zt	 HCO3zt	 H2CO3zt	 Chlzt	 CH4aq	 CH4g	 FeCO3	 Fe3PO42	ÊPO4adsc
11.9	3.055545589	378.3624144	1.63E-05	0.515620367	1.84E-45	4.67E-49	0.061557112	3.46E-11	7.21E-11	2.66E-02	0.045104842	2.67E-05	0.031658442	1.96E-06	4.03E-06	3.38E-19	8.12E-07	0.001903405	547.2330292	0.092864099	3.100253112	11123.37509	0.355290402	3.30610000000000e-319	0.164797594	3.98E-05	74.44133097	0.204107605	0.001087786	1.547660322	4.24000000000000e-321	0.01261139	3.78E-09	6.04E-02	2.89415300000000e-318	2.34503000000000e-319	1.388093083
12	3.059181984	379.3128832	1.65E-05	0.515313788	7.21E-46	1.81E-49	0.061558086	3.46E-11	7.04E-11	2.60E-02	0.045183197	2.59E-05	0.031484385	1.92E-06	3.93E-06	3.21E-19	7.60E-07	0.001903494	547.2585309	0.095058552	3.123277968	11123.18932	0.356485532	3.30610000000000e-319	0.164789453	3.98E-05	73.48963583	0.204203154	0.001088074	1.548400068	4.27000000000000e-321	0.012512946	3.89E-09	6.09E-02	2.90178000000000e-318	2.34503000000000e-319	1.360734222
12.1	3.062396949	380.2181146	1.66E-05	0.515003769	2.82E-46	7.00E-50	0.061555921	3.46E-11	6.86E-11	2.54E-02	0.045261137	2.52E-05	0.03131041	1.87E-06	3.84E-06	3.05E-19	7.12E-07	0.00190358	547.2831098	0.097285694	3.146094065	11123.00302	0.357668863	3.30610000000000e-319	0.16478118	3.98E-05	72.55494948	0.204295017	0.001088347	1.549111591	4.29300000000000e-321	0.01241247	4.00E-09	6.15E-02	2.90731000000000e-318	2.34503000000000e-319	1.333918585
12.2	3.065196375	381.0786673	1.68E-05	0.514690387	1.11E-46	2.71E-50	0.061550717	3.46E-11	6.70E-11	2.49E-02	0.045338665	2.45E-05	0.031136539	1.83E-06	3.75E-06	2.90E-19	6.67E-07	0.001903662	547.3067803	0.099545523	3.168699679	11122.81625	0.358840511	3.30610000000000e-319	0.164772779	3.98E-05	71.63695957	0.204383329	0.001088605	1.549795923	4.32300000000000e-321	0.012310051	4.11E-09	6.20E-02	2.91488000000000e-318	2.34503000000000e-319	1.30764007
12.3	3.067586242	381.8951091	1.70E-05	0.51437372	4.34E-47	1.05E-50	0.06154257	3.46E-11	6.53E-11	2.43E-02	0.045415782	2.38E-05	0.030962795	1.79E-06	3.66E-06	2.76E-19	6.25E-07	0.001903742	547.3295567	0.101838026	3.191093157	11122.62902	0.36000059	3.30610000000000e-319	0.164764254	3.98E-05	70.73535865	0.204468224	0.001088849	1.550454072	4.35000000000000e-321	0.012205773	4.23E-09	6.25E-02	2.92040000000000e-318	2.34503000000000e-319	1.281892507
12.4	3.069572612	382.6680172	1.72E-05	0.514053843	1.70E-47	4.07E-51	0.061531576	3.46E-11	6.38E-11	2.38E-02	0.045492493	2.31E-05	0.0307892	1.75E-06	3.57E-06	2.63E-19	5.85E-07	0.001903818	547.3514532	0.104163176	3.213272923	11122.44137	0.361149213	3.30610000000000e-319	0.164755609	3.98E-05	69.84984415	0.204549832	0.001089079	1.551087028	4.37200000000000e-321	0.012099724	4.35E-09	6.31E-02	2.92797000000000e-318	2.34503000000000e-319	1.256669659
12.5	3.071161627	383.3979772	1.73E-05	0.513730832	6.65E-48	1.58E-51	0.061517829	3.46E-11	6.22E-11	2.33E-02	0.045568798	2.25E-05	0.030615777	1.71E-06	3.48E-06	2.50E-19	5.48E-07	0.001903892	547.3724839	0.106520933	3.235237473	11122.25334	0.36228649	3.30610000000000e-319	0.164746847	3.98E-05	68.9801183	0.20462828	0.001089296	1.551695757	4.40000000000000e-321	0.011991987	4.46E-09	6.36E-02	2.93356000000000e-318	2.34503000000000e-319	1.231965227
12.6	3.072359499	384.0855825	1.75E-05	0.513404763	2.61E-48	6.11E-52	0.061501419	3.46E-11	6.07E-11	2.28E-02	0.045644701	2.18E-05	0.030442547	1.67E-06	3.40E-06	2.38E-19	5.13E-07	0.001903962	547.392663	0.108911245	3.25698538	11122.06495	0.363412528	3.30610000000000e-319	0.164737973	3.98E-05	68.12588807	0.204703692	0.001089501	1.552281205	4.42700000000000e-321	0.011882648	4.58E-09	6.41E-02	2.94119000000000e-318	2.34503000000000e-319	1.207772857
12.7	3.073172511	384.7314342	1.77E-05	0.513075709	1.02E-48	2.37E-52	0.061482437	3.45E-11	5.93E-11	2.23E-02	0.045720203	2.12E-05	0.030269532	1.63E-06	3.32E-06	2.26E-19	4.81E-07	0.00190403	547.4120045	0.111334046	3.278515293	11121.87625	0.364527433	3.30610000000000e-319	0.164728991	3.98E-05	67.28686516	0.204776191	0.001089694	1.552844295	4.45600000000000e-321	0.011771791	4.71E-09	6.46E-02	2.94653300000000e-318	2.34503000000000e-319	1.18408614
12.8	3.073607006	385.3361405	1.78E-05	0.512743745	4.00E-49	9.18E-53	0.061460972	3.45E-11	5.79E-11	2.19E-02	0.045795306	2.07E-05	0.030096752	1.59E-06	3.23E-06	2.15E-19	4.50E-07	0.001904094	547.4305225	0.113789257	3.299825934	11121.68725	0.36563131	3.30610000000000e-319	0.164719905	3.98E-05	66.46276587	0.204845894	0.001089876	1.553385931	4.48000000000000e-321	0.011659497	4.83E-09	6.52E-02	2.95422000000000e-318	2.34503000000000e-319	1.160898624
