"Temp.Observed","Date","Temp.Seasonal","Temp.Trend","Temp.Random","Temp.Detrended"
-3.5,1978-11-17,-4.81391327943776,0.719072322722321,0.594840956715439,-4.21907232272232
-14.5,1978-11-18,-5.48700590063498,0.713452798975127,-9.72644689834015,-15.2134527989751
-17.75,1978-11-19,-6.5382235218322,0.707833275227932,-11.9196097533957,-18.4578332752279
-20,1978-11-20,-6.86652447636275,0.702213751480738,-13.835689275118,-20.7022137514807
-17.25,1978-11-21,-7.14482543089331,0.696594227733544,-10.8017687968402,-17.9465942277335
-15,1978-11-22,-7.56375138542386,0.690974703986349,-8.12722331856249,-15.6909747039863
-11.25,1978-11-23,-7.9962845420424,0.685355180239155,-3.93907063819675,-11.9353551802392
-7.5,1978-11-24,-8.39965103199428,0.67973565649196,0.219915375502317,-8.17973565649196
-10.75,1978-11-25,-9.08843418861283,0.674116132744766,-2.33568194413194,-11.4241161327448
-8.5,1978-11-26,-9.64596734523137,0.668496608997572,0.477470736233798,-9.16849660899757
-12.5,1978-11-27,-10.0878755018499,0.662877085250377,-3.07500158340047,-13.1628770852504
-18.75,1978-11-28,-10.296502339724,0.657257561503183,-9.11075522177915,-19.4072575615032
-18,1978-11-29,-10.3478375109315,0.651638037755988,-8.30380052682449,-18.651638037756
-25,1978-11-30,-11.1106310154723,0.646018514008794,-14.5353874985365,-25.6460185140088
-23.75,1978-12-01,-11.9713411866797,0.6403989902616,-12.4190578035819,-24.3903989902616
-22.75,1978-12-02,-11.9997596912205,0.634779466514405,-11.3850197752939,-23.3847794665144
-17.75,1978-12-03,-12.0576452861396,0.629159942767211,-6.32151465662764,-18.3791599427672
-11,1978-12-04,-11.6582392143919,0.623540419020017,0.0346987953719275,-11.62354041902
-15,1978-12-05,-12.069249809311,0.617920895272822,-3.54867108596184,-15.6179208952728
-23.25,1978-12-06,-12.8135937375634,0.612301371525628,-11.0487076339623,-23.8623013715256
-25.5,1978-12-07,-13.4621043324824,0.606681847778433,-12.644577515296,-26.1066818477784
