"Year","Month","Day","TPI","TPI.constant"
1969,6,27,18.37388802,18.37388802
1969,6,28,18.4005310100984,18.37388802
1969,6,29,18.4271740001967,18.37388802
1969,6,30,18.4538169902951,18.37388802
1969,7,1,18.4804599803934,18.37388802
1969,7,2,18.5071029704918,18.37388802
1969,7,3,18.5337459605902,18.37388802
1969,7,4,18.5603889506885,18.37388802
1969,7,5,18.5870319407869,18.37388802
1969,7,6,18.6136749308852,18.37388802
1969,7,7,18.6403179209836,18.37388802
1969,7,8,18.666960911082,18.37388802
1969,7,9,18.6936039011803,18.37388802
1969,7,10,18.7202468912787,18.37388802
1969,7,11,18.746889881377,18.37388802
1969,7,12,18.7735328714754,18.37388802
1969,7,13,18.8001758615738,18.37388802
1969,7,14,18.8268188516721,18.37388802
1969,7,15,18.8534618417705,18.37388802
1969,7,16,18.8801048318689,18.37388802
1969,7,17,18.9067478219672,18.37388802
1969,7,18,18.9333908120656,18.37388802
1969,7,19,18.9600338021639,18.37388802
1969,7,20,18.9866767922623,18.37388802
1969,7,21,19.0133197823607,18.37388802
1969,7,22,19.039962772459,18.37388802
1969,7,23,19.0666057625574,18.37388802
1969,7,24,19.0932487526557,18.37388802
1969,7,25,19.1198917427541,18.37388802
1969,7,26,19.1465347328525,18.37388802
1969,7,27,19.1731777229508,18.37388802
1969,7,28,19.1998207130492,18.37388802
1969,7,29,19.2264637031475,18.37388802
1969,7,30,19.2531066932459,18.37388802
1969,7,31,19.2797496833443,18.37388802
1969,8,1,19.3063926734426,18.37388802
1969,8,2,19.333035663541,18.37388802
1969,8,3,19.3596786536393,18.37388802
1969,8,4,19.3863216437377,18.37388802
1969,8,5,19.4129646338361,18.37388802
1969,8,6,19.4396076239344,18.37388802
1969,8,7,19.4662506140328,18.37388802
1969,8,8,19.4928936041311,18.37388802
1969,8,9,19.5195365942295,18.37388802
1969,8,10,19.5461795843279,18.37388802
1969,8,11,19.5728225744262,18.37388802
1969,8,12,19.5994655645246,18.37388802
1969,8,13,19.6261085546229,18.37388802
1969,8,14,19.6527515447213,18.37388802
1969,8,15,19.6793945348197,18.37388802
1969,8,16,19.706037524918,18.37388802
1969,8,17,19.7326805150164,18.37388802
1969,8,18,19.7593235051148,18.37388802
1969,8,19,19.7859664952131,18.37388802
1969,8,20,19.8126094853115,18.37388802
1969,8,21,19.8392524754098,18.37388802
1969,8,22,19.8658954655082,18.37388802
1969,8,23,19.8925384556066,18.37388802
1969,8,24,19.9191814457049,18.37388802
1969,8,25,19.9458244358033,18.37388802
1969,8,26,19.9724674259016,18.37388802
1969,8,27,19.999110416,18.37388802
1969,8,28,20.0257534060984,18.37388802
1969,8,29,20.0523963961967,18.37388802
1969,8,30,20.0790393862951,18.37388802
1969,8,31,20.1056823763934,18.37388802
1969,9,1,20.1323253664918,18.37388802
1969,9,2,20.1589683565902,18.37388802
1969,9,3,20.1856113466885,18.37388802
1969,9,4,20.2122543367869,18.37388802
1969,9,5,20.2388973268852,18.37388802
1969,9,6,20.2655403169836,18.37388802
1969,9,7,20.292183307082,18.37388802
1969,9,8,20.3188262971803,18.37388802
1969,9,9,20.3454692872787,18.37388802
1969,9,10,20.372112277377,18.37388802
1969,9,11,20.3987552674754,18.37388802
1969,9,12,20.4253982575738,18.37388802
1969,9,13,20.4520412476721,18.37388802
1969,9,14,20.4786842377705,18.37388802
1969,9,15,20.5053272278689,18.37388802
1969,9,16,20.5319702179672,18.37388802
1969,9,17,20.5586132080656,18.37388802
1969,9,18,20.5852561981639,18.37388802
1969,9,19,20.6118991882623,18.37388802
1969,9,20,20.6385421783607,18.37388802
1969,9,21,20.665185168459,18.37388802
1969,9,22,20.6918281585574,18.37388802
1969,9,23,20.7184711486557,18.37388802
1969,9,24,20.7451141387541,18.37388802
1969,9,25,20.7717571288525,18.37388802
1969,9,26,20.7984001189508,18.37388802
1969,9,27,20.8250431090492,18.37388802
1969,9,28,20.8516860991475,18.37388802
1969,9,29,20.8783290892459,18.37388802
1969,9,30,20.9049720793443,18.37388802
1969,10,1,20.9316150694426,18.37388802
1969,10,2,20.958258059541,18.37388802
1969,10,3,20.9849010496393,18.37388802
1969,10,4,21.0115440397377,18.37388802
1969,10,5,21.0381870298361,18.37388802
1969,10,6,21.0648300199344,18.37388802
1969,10,7,21.0914730100328,18.37388802
1969,10,8,21.1181160001311,18.37388802
1969,10,9,21.1447589902295,18.37388802
1969,10,10,21.1714019803279,18.37388802
1969,10,11,21.1980449704262,18.37388802
1969,10,12,21.2246879605246,18.37388802
1969,10,13,21.251330950623,18.37388802
1969,10,14,21.2779739407213,18.37388802
1969,10,15,21.3046169308197,18.37388802
1969,10,16,21.331259920918,18.37388802
1969,10,17,21.3579029110164,18.37388802
1969,10,18,21.3845459011148,18.37388802
1969,10,19,21.4111888912131,18.37388802
1969,10,20,21.4378318813115,18.37388802
1969,10,21,21.4644748714098,18.37388802
1969,10,22,21.4911178615082,18.37388802
1969,10,23,21.5177608516066,18.37388802
1969,10,24,21.5444038417049,18.37388802
1969,10,25,21.5710468318033,18.37388802
1969,10,26,21.5976898219016,18.37388802
1969,10,27,21.624332812,18.37388802
1969,10,28,21.6509758020984,18.37388802
1969,10,29,21.6776187921967,18.37388802
1969,10,30,21.7042617822951,18.37388802
1969,10,31,21.7309047723934,18.37388802
1969,11,1,21.7575477624918,18.37388802
1969,11,2,21.7841907525902,18.37388802
1969,11,3,21.8108337426885,18.37388802
1969,11,4,21.8374767327869,18.37388802
1969,11,5,21.8641197228852,18.37388802
1969,11,6,21.8907627129836,18.37388802
