z	 OMzt	 OMbzt	 DOM1zt	 DOM2zt	 O2zt	 NO3zt	 NH4zt	 NH3zt	 FeOH3zt	 FeOOHzt	 Fe2zt	 SO4zt	 H2Szt	 HSzt	 PO4zt	 PO4adsazt	 PO4adsbzt	 S0zt	 S8zt	 FeSzt	 FeS2zt	 AlOH3zt	 Ca2zt	 Ca3PO42zt	 OMSzt	 Hzt	 OHzt	 CO2zt	 CO3zt	 HCO3zt	 H2CO3zt
2	0.0041083	13.162	0.00014463	0.045114	0	0	0.53116	4.14E-09	1.59E-30	3.4585e-323	0.1	0	1.19E-10	0.010694	0.00069972	3.41E-20	3.00E-103	1.84E-09	4.59E-05	0	1.28E-56	3.1923	0.016822	0.0033223	0.08941	0.0072542	1.82E-06	0.0051747	2.42E-05	0.72932	1.18E-15
2.1176	0.003794	12.832	0.00014566	0.044336	0	0	0.52692	4.14E-09	3.01E-32	2.9644e-323	0.1	0	1.18E-10	0.010839	0.00069497	3.38E-20	3.15E-103	1.93E-09	4.82E-05	0	1.34E-56	3.3444	0.016637	0.0034858	0.092996	0.0072585	1.82E-06	0.005398	2.42E-05	0.7292	1.18E-15
2.2353	0.0034974	12.554	0.00014669	0.043565	0	0	0.52273	4.14E-09	5.71E-34	2.9644e-323	0.1	0	1.18E-10	0.010955	0.00069019	3.36E-20	3.30E-103	2.02E-09	5.06E-05	0	1.41E-56	3.4956	0.016452	0.0036493	0.096496	0.0072619	1.82E-06	0.0056164	2.42E-05	0.72895	1.18E-15
2.3529	0.0032205	12.313	0.00014771	0.042805	0	0	0.5186	4.13E-09	1.08E-35	2.9644e-323	0.1	0	1.18E-10	0.011046	0.00068544	3.36E-20	3.46E-103	2.12E-09	5.29E-05	0	1.48E-56	3.6456	0.016267	0.0038126	0.099905	0.0072645	1.82E-06	0.0058303	2.41E-05	0.72859	1.18E-15
2.4706	0.0029644	12.1	0.00014874	0.042062	0	0	0.51453	4.13E-09	2.06E-37	2.9644e-323	0.1	0	1.18E-10	0.011115	0.00068077	3.37E-20	3.62E-103	2.21E-09	5.53E-05	0	1.54E-56	3.7942	0.016083	0.0039756	0.10322	0.0072666	1.83E-06	0.0060403	2.41E-05	0.72815	1.18E-15
2.5882	0.0027297	11.904	0.00014978	0.041338	0	0	0.51054	4.13E-09	3.91E-39	2.9644e-323	0.1	0	1.18E-10	0.011163	0.00067622	3.40E-20	3.77E-103	2.30E-09	5.76E-05	0	1.61E-56	3.9411	0.015899	0.0041381	0.10643	0.0072683	1.83E-06	0.006247	2.41E-05	0.72765	1.18E-15
2.7059	0.0025162	11.718	0.00015083	0.040635	0	0	0.50662	4.13E-09	7.43E-41	2.9644e-323	0.1	0	1.18E-10	0.011195	0.00067182	3.44E-20	3.93E-103	2.40E-09	5.99E-05	0	1.68E-56	4.0862	0.015716	0.0042999	0.10953	0.0072696	1.83E-06	0.0064508	2.40E-05	0.72711	1.18E-15
2.8235	0.0023232	11.537	0.00015189	0.039955	0	0	0.50278	4.12E-09	1.41E-42	2.9644e-323	0.1	0	1.18E-10	0.011212	0.0006676	3.50E-20	4.09E-103	2.49E-09	6.23E-05	0	1.74E-56	4.2292	0.015535	0.0044609	0.11254	0.0072706	1.83E-06	0.0066521	2.40E-05	0.72653	1.17E-15
2.9412	0.0021497	11.356	0.00015297	0.039299	0	0	0.49901	4.12E-09	2.69E-44	2.9644e-323	0.1	0	1.18E-10	0.011217	0.00066357	3.56E-20	4.24E-103	2.58E-09	6.46E-05	0	1.81E-56	4.3701	0.015355	0.004621	0.11543	0.0072715	1.83E-06	0.0068515	2.40E-05	0.72595	1.17E-15
3.0588	0.0019946	11.172	0.00015405	0.038665	0	0	0.49532	4.12E-09	5.11E-46	2.9644e-323	0.1	0	1.18E-10	0.011213	0.00065974	3.64E-20	4.40E-103	2.68E-09	6.69E-05	0	1.88E-56	4.5088	0.015177	0.0047802	0.11823	0.0072721	1.83E-06	0.0070493	2.39E-05	0.72535	1.17E-15
3.1765	0.0018561	10.984	0.00015515	0.038054	0	0	0.49169	4.12E-09	9.71E-48	2.9644e-323	0.1	0	1.18E-10	0.011201	0.00065611	3.72E-20	4.55E-103	2.77E-09	6.92E-05	0	1.94E-56	4.645	0.015001	0.0049383	0.12092	0.0072726	1.83E-06	0.0072459	2.39E-05	0.72477	1.17E-15
3.2941	0.0017329	10.789	0.00015625	0.037465	0	0	0.48813	4.11E-09	1.85E-49	2.9644e-323	0.1	0	1.17E-10	0.011184	0.00065268	3.82E-20	4.71E-103	2.86E-09	7.15E-05	0	2.01E-56	4.7787	0.014828	0.0050953	0.12351	0.007273	1.83E-06	0.0074418	2.39E-05	0.72419	1.17E-15
3.4118	0.0016233	10.586	0.00015736	0.036896	0	0	0.48462	4.11E-09	3.51E-51	2.9644e-323	0.1	0	1.17E-10	0.011163	0.00064944	3.92E-20	4.87E-103	2.95E-09	7.38E-05	0	2.08E-56	4.9099	0.014656	0.0052512	0.126	0.0072734	1.83E-06	0.0076371	2.39E-05	0.72364	1.17E-15
3.5294	0.0015258	10.376	0.00015848	0.036347	0	0	0.48118	4.11E-09	6.68E-53	2.9644e-323	0.1	0	1.17E-10	0.011139	0.00064639	4.04E-20	5.02E-103	3.04E-09	7.61E-05	0	2.14E-56	5.0384	0.014486	0.0054059	0.1284	0.0072736	1.83E-06	0.0078323	2.38E-05	0.7231	1.17E-15
3.6471	0.0014388	10.157	0.0001596	0.035817	0	0	0.47778	4.10E-09	1.27E-54	2.9644e-323	0.1	0	1.17E-10	0.011116	0.00064352	4.16E-20	5.18E-103	3.13E-09	7.83E-05	0	2.21E-56	5.1642	0.014319	0.0055593	0.13071	0.0072738	1.83E-06	0.0080275	2.38E-05	0.7226	1.17E-15
3.7647	0.001361	9.9315	0.00016072	0.035304	0	0	0.47443	4.10E-09	2.42E-56	2.9644e-323	0.1	0	1.17E-10	0.011092	0.00064082	4.30E-20	5.33E-103	3.22E-09	8.06E-05	0	2.28E-56	5.2873	0.014154	0.0057116	0.13293	0.007274	1.83E-06	0.0082231	2.38E-05	0.72212	1.17E-15
3.8824	0.0012911	9.6986	0.00016184	0.034808	0	0	0.47112	4.10E-09	4.60E-58	2.9644e-323	0.1	0	1.17E-10	0.011071	0.00063827	4.44E-20	5.49E-103	3.31E-09	8.28E-05	0	2.34E-56	5.4076	0.013991	0.0058626	0.13508	0.0072741	1.83E-06	0.0084192	2.38E-05	0.72168	1.17E-15
4	0.0012279	9.4594	0.00016296	0.034327	0	0	0.46786	4.10E-09	8.75E-60	2.9644e-323	0.1	0	1.17E-10	0.011052	0.00063587	4.59E-20	5.64E-103	3.40E-09	8.51E-05	0	2.41E-56	5.5252	0.013831	0.0060123	0.13715	0.0072742	1.83E-06	0.0086159	2.38E-05	0.72127	1.16E-15
4.1176	0.0011706	9.2147	0.00016407	0.03386	0	0	0.46462	4.10E-09	1.67E-61	2.9644e-323	0.1	0	1.17E-10	0.011037	0.00063361	4.75E-20	5.79E-103	3.49E-09	8.73E-05	0	2.47E-56	5.6399	0.013673	0.0061607	0.13915	0.0072743	1.83E-06	0.0088135	2.37E-05	0.72089	1.16E-15
4.2353	0.0011181	8.9653	0.00016518	0.033407	0	0	0.46141	4.09E-09	3.17E-63	2.9644e-323	0.1	0	1.17E-10	0.011025	0.00063146	4.92E-20	5.95E-103	3.58E-09	8.95E-05	0	2.54E-56	5.7518	0.013517	0.0063079	0.14108	0.0072743	1.83E-06	0.009012	2.37E-05	0.72054	1.16E-15
