-999	"MyLake model input data time series for Lake 227, accessed from https://github.com/biogeochemistry/ELA_MyLake_model"																															
Year	Month	Day	Global_rad (MJ/m2)	Cloud_cov (-)	Air_temp (deg C)	Relat_hum (%)	Air_press (hPa)	Wind_speed_L227_10m (m/s)	Precipitation (mm/day)	Inflow (m3/day)	Inflow_T (deg C)	Inflow_C	Inflow_S (kg/m3)	Inflow_TP (mg/m3)	Inflow_DOP (mg/m3)	Inflow_Chla (mg/m3)	Inflow_DOC (mg/m3)	Inflow_DIC	Inflow_O	Inflow_NO3 (mg/m3)	Inflow_NH4 (mg/m3)	Inflow_SO4 (mg/m3)	Inflow_Fe2 (mg/m3)	Inflow_Ca2 (mg/m3)	Inflow_pH	Inflow_CH4	Inflow_Fe3	Inflow_Al3	Inflow_SiO4	Inflow_SiO2	Inflow_diatom	Inflow_POC (kg/m3)
1969	7	30	NaN	0.838	19.45	97	938	1.23270188	38.9	19061	20.13	0	0	138.26	0	0	0	8000	10000	1663.13353	0	0	0	0	0	0	0	0	0	0	0	0
1969	7	31	NaN	1	17.5	97	937	2.0667177	0	0	18.53	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	8	1	NaN	1	18.9	93	932	1.224494208	0	0	19.68	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	8	2	NaN	0.962	21.1	93	922	1.295519654	0	0	21.48	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	8	3	NaN	0.538	19.7	94	925	1.210987094	8.6	4214	20.33	0	0	138.26	0	0	0	8000	10000	1663.13353	0	0	0	0	0	0	0	0	0	0	0	0
1969	8	4	NaN	0	19.7	85	929	1.16613572	0	0	20.33	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	8	5	NaN	0.962	20	83	929	1.074881916	0	0	20.58	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	8	6	NaN	0.788	18.35	95	930	1.544593422	31.5	15435	19.23	0	0	138.26	0	0	0	8000	10000	1663.13353	0	0	0	0	0	0	0	0	0	0	0	0
1969	8	7	NaN	1	14.45	92	920	1.868505649	11.4	5586	16.03	0	0	138.26	0	0	0	8000	10000	1663.13353	0	0	0	0	0	0	0	0	0	0	0	0
1969	8	8	NaN	1	16.65	96	913	1.349418856	0	0	17.83	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	8	9	NaN	0.538	18.05	67	932	0.715101515	10.4	5096	18.98	0	0	138.26	0	0	0	8000	10000	1663.13353	0	0	0	0	0	0	0	0	0	0	0	0
1969	8	10	NaN	1	22.25	84	943	1.002305413	0	0	22.43	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	8	11	NaN	1	23.9	94	943	1.926088609	0	0	23.78	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	8	12	NaN	1	21.1	92	947	1.642633096	27.9	13671	21.48	0	0	138.26	0	0	0	8000	10000	1663.13353	0	0	0	0	0	0	0	0	0	0	0	0
1969	8	13	NaN	0.962	21.1	96	955	2.306808268	2.5	1225	21.48	0	0	138.26	0	0	0	8000	10000	1663.13353	0	0	0	0	0	0	0	0	0	0	0	0
1969	8	14	NaN	0.588	16.4	94	959	2.559630421	1	490	17.63	0	0	138.26	0	0	0	8000	10000	1663.13353	0	0	0	0	0	0	0	0	0	0	0	0
1969	8	15	NaN	0.538	19.45	91	956	1.834834805	0	0	20.13	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	8	16	NaN	0.625	18.9	83	947	0.75846646	1.3	637	19.68	0	0	138.26	0	0	0	8000	10000	1663.13353	0	0	0	0	0	0	0	0	0	0	0	0
1969	8	17	NaN	0.75	19.15	88	940	1.462322818	0.3	147	19.88	0	0	138.26	0	0	0	8000	10000	1663.13353	0	0	0	0	0	0	0	0	0	0	0	0
1969	8	18	NaN	0.712	15.3	71	937	1.371844543	0	0	16.73	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	8	19	NaN	0.088	16.4	69	953	1.038949115	0	0	17.63	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	8	20	NaN	0.75	16.95	85	963	1.176605349	0	0	18.08	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	8	21	NaN	0.338	19.45	90	963	1.673266455	0	0	20.13	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	8	22	NaN	0.125	23.35	91	971	2.0397681	0	0	23.33	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	8	23	NaN	0.038	25.25	91	971	1.60295191	0	0	24.89	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	8	24	NaN	0.538	23.05	83	966	1.326928541	0	0	23.08	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	8	25	NaN	0.962	22.5	82	956	1.213249051	0	0	22.63	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	8	26	NaN	1	23.05	92	953	1.973977468	0	0	23.08	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	8	27	NaN	0.962	21.35	98	960	1.684511613	0	0	21.69	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	8	28	NaN	1	20.85	89	970	1.283563596	0.3	147	21.28	0	0	138.26	0	0	0	8000	10000	1663.13353	0	0	0	0	0	0	0	0	0	0	0	0
